flag provided but not defined: -addr
Usage of C:\Users\Fwind43\Desktop\code\GenericAgent-Admin-Go\GenericAgent-Admin-Go.exe:
  -headless
    	run without browser, tray, or desktop pet; intended for Linux servers
  -no-browser
    	do not open the web UI automatically
  -port int
    	override HTTP listen port for this launch (1-65535)
  -server-only
    	alias for --headless

--- restart with -port 8799 ---
2026/06/25 10:09:37 desktop pet action=review ticks=18 loop=true
2026/06/25 10:09:54 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:10:09 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:10:26 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:10:43 desktop pet action=running ticks=18 loop=true
2026/06/25 10:11:00 desktop pet action=review ticks=18 loop=true
2026/06/25 10:11:15 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:11:29 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:11:44 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:12:00 desktop pet action=running ticks=18 loop=true
2026/06/25 10:12:15 desktop pet action=review ticks=18 loop=true
2026/06/25 10:12:31 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:12:47 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:13:03 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:13:20 desktop pet action=running ticks=18 loop=true
2026/06/25 10:13:37 desktop pet action=review ticks=18 loop=true
2026/06/25 10:13:55 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:14:09 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:14:24 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:14:39 desktop pet action=running ticks=18 loop=true
2026/06/25 10:14:55 desktop pet action=review ticks=18 loop=true
2026/06/25 10:15:11 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:15:26 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:15:42 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:15:59 desktop pet action=running ticks=18 loop=true
